Date,Ticker,Sector,PE,ROE,Momentum,RSI,Action
2026-05-01,AGCO,Industrials,12.39,18.1%,0.0501,48.4,🟡 持有
2026-05-01,AIZ,Financial,13.96,15.9%,0.0878,79.9,🔴 止盈
2026-05-01,AKO-B,Consumer Defensive,12.29,25.0%,0.0998,34.9,🟢 买入
2026-05-01,ALL,Financial,4.84,45.3%,0.0648,57.4,🟡 持有
2026-05-01,ALSN,Consumer Cyclical,18.24,35.4%,0.1414,57.4,🟡 持有
2026-05-01,AMG,Financial,13.29,21.8%,0.151,60.1,🟡 持有
2026-05-01,AN,Consumer Cyclical,12.71,27.1%,0.0854,63.9,🟡 持有
2026-05-01,APO,Financial,23.82,16.7%,0.2158,79.4,🔴 止盈
2026-05-01,AROC,Energy,21.06,22.7%,0.1119,69.6,🟡 持有
2026-05-01,AX,Financial,11.56,16.8%,0.0634,44.5,🟡 持有
2026-05-01,AZZ,Industrials,13.64,26.6%,0.1346,55.0,🟡 持有
2026-05-01,BFH,Financial,7.05,17.6%,0.1761,61.1,🟡 持有
2026-05-01,BHP,Basic Materials,19.67,21.4%,0.0767,52.7,🟡 持有
2026-05-01,BKE,Consumer Cyclical,13.45,49.4%,0.1223,61.0,🟡 持有
2026-05-01,BKR,Energy,22.16,17.1%,0.1512,69.7,🟡 持有
2026-05-01,BLBD,Industrials,16.17,57.5%,0.0928,49.0,🟡 持有
2026-05-01,BLD,Industrials,24.3,23.1%,0.2429,61.4,🟡 持有
2026-05-01,CACC,Financial,13.96,25.9%,0.2221,62.1,🟡 持有
2026-05-01,CAKE,Consumer Cyclical,18.2,33.7%,0.1191,61.8,🟡 持有
2026-05-01,CARG,Consumer Cyclical,23.86,34.9%,0.1167,69.1,🟡 持有
2026-05-01,CDLR,Industrials,7.8,21.1%,0.1729,68.2,🟡 持有
2026-05-01,CI,Healthcare,12.09,15.3%,0.0554,58.8,🟡 持有
2026-05-01,CNI,Industrials,20.54,22.4%,0.0818,53.5,🟡 持有
2026-05-01,CNS,Financial,23.59,29.1%,0.1427,72.0,🟡 持有
2026-05-01,CON,Healthcare,17.68,49.8%,0.0821,53.0,🟡 持有
2026-05-01,CPRX,Healthcare,17.0,25.5%,0.1555,69.1,🟡 持有
2026-05-01,CRH,Basic Materials,21.85,16.5%,0.1269,51.5,🟡 持有
2026-05-01,CRUS,Technology,21.33,19.9%,0.0943,49.9,🟡 持有
2026-05-01,CSL,Industrials,20.77,38.4%,0.0771,49.9,🟡 持有
2026-05-01,CSTM,Basic Materials,10.25,46.7%,0.1542,59.7,🟡 持有
2026-05-01,DKL,Energy,16.65,439.4%,0.0559,72.6,🟡 持有
2026-05-01,DKS,Consumer Cyclical,22.26,19.4%,0.1885,67.9,🟡 持有
2026-05-01,DLO,Technology,20.16,37.2%,0.0498,47.0,🟡 持有
2026-05-01,DVA,Healthcare,16.29,635.3%,0.0656,56.4,🟡 持有
2026-05-01,EAT,Consumer Cyclical,14.95,139.2%,0.0553,49.0,🟡 持有
2026-05-01,EBAY,Consumer Cyclical,22.98,42.8%,0.0811,56.6,🟡 持有
2026-05-01,ECO,Industrials,14.57,25.0%,0.0506,64.2,🟡 持有
2026-05-01,ENVA,Financial,13.79,25.1%,0.2453,75.3,🔴 止盈
2026-05-01,EWBC,Financial,12.71,16.4%,0.1641,77.9,🔴 止盈
2026-05-01,FBP,Financial,10.88,19.0%,0.1233,65.3,🟡 持有
2026-05-01,FDX,Industrials,21.3,15.8%,0.0981,65.4,🟡 持有
2026-05-01,FOX,Communication Services,13.73,16.9%,0.0836,56.0,🟡 持有
2026-05-01,FOXA,Communication Services,15.29,16.9%,0.0865,56.2,🟡 持有
2026-05-01,FTDR,Consumer Cyclical,18.91,121.5%,0.2343,72.1,🟡 持有
2026-05-01,GIL,Consumer Cyclical,24.08,15.7%,0.1601,61.8,🟡 持有
2026-05-01,GL,Financial,10.64,20.6%,0.082,76.5,🔴 止盈
2026-05-01,GLPI,Real Estate,15.31,20.1%,0.0873,63.5,🟡 持有
2026-05-01,HBM,Basic Materials,16.73,19.7%,0.0896,45.5,🟡 持有
2026-05-01,HG,Financial,5.77,22.4%,0.0874,73.3,🟡 持有
2026-05-01,INSW,Energy,13.37,16.0%,0.0988,71.6,🟡 持有
2026-05-01,JPM,Financial,15.09,16.4%,0.0747,51.7,🟡 持有
2026-05-01,KALU,Basic Materials,18.91,18.8%,0.3267,77.4,🔴 止盈
2026-05-01,KSPI,Technology,8.0,52.8%,0.1891,65.1,🟡 持有
2026-05-01,KTB,Consumer Cyclical,18.37,47.1%,0.0673,51.2,🟡 持有
2026-05-01,LAMR,Real Estate,24.2,57.0%,0.0956,76.1,🔴 止盈
2026-05-01,LEVI,Consumer Cyclical,19.25,25.4%,0.1873,51.3,🟡 持有
2026-05-01,LII,Industrials,24.04,75.8%,0.1689,55.3,🟡 持有
2026-05-01,MCRI,Consumer Cyclical,20.21,20.1%,0.2288,84.1,🔴 止盈
2026-05-01,MCY,Financial,10.04,24.8%,0.1159,64.7,🟡 持有
2026-05-01,MLI,Industrials,17.68,28.2%,0.2103,65.7,🟡 持有
2026-05-01,MS,Financial,17.45,16.4%,0.1664,67.0,🟡 持有
2026-05-01,MUSA,Consumer Cyclical,19.83,80.3%,0.1547,71.7,🟡 持有
2026-05-01,NTAP,Technology,18.6,112.6%,0.0755,81.2,🔴 止盈
2026-05-01,NTB,Financial,9.69,21.9%,0.0511,49.0,🟡 持有
2026-05-01,PAG,Consumer Cyclical,12.67,16.0%,0.1464,76.8,🔴 止盈
2026-05-01,PBR,Energy,7.11,29.0%,0.0638,49.2,🟡 持有
2026-05-01,PBR-A,Energy,6.43,29.0%,0.0604,49.2,🟡 持有
2026-05-01,PG,Consumer Defensive,21.8,31.1%,0.0477,63.5,🟡 持有
2026-05-01,PPG,Basic Materials,15.62,21.0%,0.0531,47.2,🟡 持有
2026-05-01,PRI,Financial,12.25,31.8%,0.106,79.9,🔴 止盈
2026-05-01,QCOM,Technology,18.71,36.1%,0.3542,81.2,🔴 止盈
2026-05-01,R,Industrials,21.28,16.8%,0.2261,71.5,🟡 持有
2026-05-01,RCI,Communication Services,3.9,50.5%,0.0497,73.3,🟡 持有
2026-05-01,RIO,Basic Materials,16.54,17.0%,0.0628,53.4,🟡 持有
2026-05-01,RY,Financial,17.26,15.5%,0.1134,69.3,🟡 持有
2026-05-01,SEIC,Financial,15.5,31.4%,0.1804,79.7,🔴 止盈
2026-05-01,SF,Financial,15.27,15.3%,0.0545,45.3,🟡 持有
2026-05-01,SFBS,Financial,14.84,16.6%,0.0992,56.3,🟡 持有
