Date,Ticker,Sector,PE,ROE,Momentum,RSI,Action
2026-08-03,AAA,Basic Materials,9.14,19.1%,-0.0027,50.6,🟡 持有
2026-08-03,CCOR,Healthcare,23.85,115.6%,0.0075,55.3,🟡 持有
2026-08-03,PPAYX,Technology,24.12,44.8%,0.0049,80.0,🔴 止盈
2026-08-03,TTHG,Financial,11.12,21.9%,0.0,50.0,🟡 持有
2026-08-03,AAA,Basic Materials,9.2,19.1%,-0.0029,50.0,🟡 持有
2026-08-03,CCOR,Healthcare,23.66,115.6%,0.0135,58.9,🟡 持有
2026-08-03,DDX,Real Estate,4.85,18.2%,-0.0037,52.7,🟡 持有
2026-08-03,PPAYX,Technology,24.06,44.8%,0.0049,80.0,🔴 止盈
2026-08-03,TTHG,Financial,11.08,21.9%,0.0,50.0,🟡 持有
2026-08-04,CCOR,Healthcare,23.39,115.6%,0.0034,58.8,🟡 持有
2026-08-04,DDX,Real Estate,4.86,18.2%,0.0011,51.8,🟡 持有
2026-08-04,FFOX,Communication Services,13.74,15.2%,0.0082,61.4,🟡 持有
2026-08-04,FFSM,Basic Materials,8.36,21.3%,0.0253,62.2,🟡 持有
2026-08-04,PPAYX,Technology,24.01,44.8%,0.0039,80.0,🔴 止盈
2026-08-04,BBDC,Technology,20.7,18.6%,0.0035,50.3,🟡 持有
2026-08-04,CCOR,Healthcare,23.5,115.6%,0.0075,61.1,🟡 持有
2026-08-04,DDX,Real Estate,4.87,18.2%,0.0084,60.2,🟡 持有
2026-08-04,FFOX,Communication Services,13.94,15.2%,0.0107,62.1,🟡 持有
2026-08-04,FFSM,Basic Materials,8.41,21.3%,0.0315,64.3,🟡 持有
2026-08-04,PPAYX,Technology,24.26,44.8%,0.0049,83.3,🔴 止盈
2026-08-05,BBDC,Technology,20.9,18.6%,0.0126,43.0,🟡 持有
2026-08-05,CCOR,Healthcare,24.18,115.6%,0.0198,56.9,🟡 持有
2026-08-05,FFOX,Communication Services,13.68,15.2%,0.0234,65.6,🟡 持有
2026-08-05,FFSM,Basic Materials,8.99,21.3%,0.0391,62.0,🟡 持有
2026-08-05,PPG,Consumer Defensive,21.88,30.2%,0.0378,49.9,🟡 持有
2026-08-05,TT,Communication Services,7.56,20.1%,0.018,52.7,🟡 持有
2026-08-05,CCOR,Healthcare,24.34,115.6%,0.0183,55.8,🟡 持有
2026-08-05,DDX,Real Estate,4.9,18.2%,0.0105,61.4,🟡 持有
2026-08-05,FFOX,Communication Services,13.78,15.2%,0.0187,63.3,🟡 持有
2026-08-05,FFSM,Basic Materials,8.92,21.3%,0.0373,61.1,🟡 持有
2026-08-05,PPG,Consumer Defensive,22.18,30.2%,0.0424,50.7,🟡 持有
2026-08-05,TT,Communication Services,7.63,20.1%,0.0239,54.0,🟡 持有
2026-08-06,BBDC,Technology,20.99,18.6%,0.0979,66.5,🟡 持有
2026-08-06,CCOR,Healthcare,24.16,100.6%,0.0253,59.3,🟡 持有
2026-08-06,DDX,Real Estate,4.89,18.2%,0.0105,61.4,🟡 持有
2026-08-06,FFSM,Basic Materials,8.28,23.2%,0.0173,61.5,🟡 持有
2026-08-06,PPAYX,Technology,24.56,44.8%,0.0058,80.0,🔴 止盈
2026-08-06,PPG,Consumer Defensive,22.2,30.2%,0.0103,49.7,🟡 持有
2026-08-06,TT,Communication Services,7.84,20.1%,0.0141,54.0,🟡 持有
2026-08-07,AAA,Basic Materials,10.12,19.1%,0.002,58.2,🟡 持有
2026-08-07,BBDC,Technology,21.11,18.6%,0.0736,70.2,🟡 持有
2026-08-07,CCOR,Healthcare,24.15,104.3%,0.0154,57.2,🟡 持有
2026-08-07,DDX,Real Estate,4.95,18.2%,0.0054,66.7,🟡 持有
2026-08-07,FFSM,Basic Materials,8.85,23.2%,0.0271,68.5,🟡 持有
2026-08-07,PPAYX,Technology,24.75,44.8%,0.0058,80.0,🔴 止盈
2026-08-07,PPG,Consumer Defensive,22.01,30.2%,0.0257,56.2,🟡 持有
2026-08-07,TT,Communication Services,7.89,20.1%,0.0034,56.0,🟡 持有
2026-08-07,BBDC,Technology,21.58,18.6%,0.0758,70.4,🟡 持有
2026-08-07,CCOR,Healthcare,23.82,104.3%,0.0207,61.4,🟡 持有
2026-08-07,DDX,Real Estate,4.94,18.2%,0.0089,69.6,🟡 持有
2026-08-07,FFSM,Basic Materials,9.0,23.2%,0.032,69.8,🟡 持有
2026-08-07,PPAYX,Technology,24.55,44.8%,0.0058,80.0,🔴 止盈
2026-08-07,PPG,Consumer Defensive,22.02,30.2%,0.0254,56.2,🟡 持有
2026-08-07,TT,Communication Services,7.87,20.1%,0.0054,56.4,🟡 持有
2026-08-10,BBDC,Technology,21.75,18.6%,0.0869,68.8,🟡 持有
2026-08-10,CCOR,Healthcare,24.1,104.3%,0.0128,66.9,🟡 持有
2026-08-10,DDX,Real Estate,4.87,18.2%,0.0134,66.3,🟡 持有
2026-08-10,EET,Energy,17.21,15.1%,0.012,48.4,🟡 持有
2026-08-10,FFSM,Basic Materials,9.11,23.2%,0.0351,60.9,🟡 持有
2026-08-10,PPAYX,Technology,24.52,44.8%,0.0058,80.0,🔴 止盈
2026-08-10,PPG,Consumer Defensive,21.97,30.2%,0.0225,51.0,🟡 持有
2026-08-10,TT,Communication Services,7.79,20.1%,0.0033,55.3,🟡 持有
2026-08-10,TTHG,Financial,10.86,21.9%,0.0,,🟡 持有
2026-08-10,BBDC,Technology,21.96,18.6%,0.1064,71.7,🟡 持有
2026-08-10,CCOR,Healthcare,24.16,104.3%,0.019,69.7,🟡 持有
2026-08-10,DDX,Real Estate,4.88,18.2%,0.0122,64.3,🟡 持有
2026-08-10,EET,Energy,14.11,15.1%,0.0119,48.4,🟡 持有
2026-08-10,FFSM,Basic Materials,9.29,23.2%,0.0314,58.8,🟡 持有
2026-08-10,PPAYX,Technology,24.78,44.8%,0.0058,80.0,🔴 止盈
2026-08-10,PPG,Consumer Defensive,22.12,30.2%,0.0144,49.7,🟡 持有
2026-08-10,TTHG,Financial,10.77,21.9%,0.0,,🟡 持有
2026-08-11,BBDC,Technology,22.6,18.6%,0.1037,75.4,🔴 止盈
2026-08-11,CCOR,Healthcare,24.58,104.3%,0.0229,68.5,🟡 持有
2026-08-11,DDX,Real Estate,4.9,18.2%,0.0097,63.7,🟡 持有
2026-08-11,FFSM,Basic Materials,9.41,23.2%,0.0305,60.0,🟡 持有
2026-08-11,PPG,Consumer Defensive,21.78,30.2%,0.0246,50.1,🟡 持有
2026-08-11,TT,Communication Services,8.01,20.1%,0.0089,55.9,🟡 持有
2026-08-11,TTHG,Financial,10.73,21.9%,0.3077,100.0,🔴 止盈
2026-08-11,BBDC,Technology,21.88,18.6%,0.0966,73.4,🟡 持有
2026-08-11,CCOR,Healthcare,24.82,104.3%,0.0199,65.5,🟡 持有
2026-08-11,DDX,Real Estate,4.93,18.2%,0.0102,64.3,🟡 持有
2026-08-11,EET,Energy,14.24,15.1%,0.0119,48.4,🟡 持有
2026-08-11,FFSM,Basic Materials,9.38,23.2%,0.0294,59.7,🟡 持有
2026-08-11,PPG,Consumer Defensive,21.94,30.2%,0.0194,49.3,🟡 持有
2026-08-11,TTHG,Financial,10.59,21.9%,0.3077,100.0,🔴 止盈
2026-08-12,BBDC,Technology,22.2,18.6%,0.0777,75.8,🔴 止盈
2026-08-12,CCOR,Healthcare,23.78,104.3%,0.0203,62.5,🟡 持有
2026-08-12,DDX,Real Estate,4.94,18.2%,0.0096,71.9,🟡 持有
2026-08-12,FFSM,Basic Materials,9.54,23.2%,0.0287,67.5,🟡 持有
2026-08-12,PPAYX,Technology,24.39,44.8%,0.0058,80.0,🔴 止盈
2026-08-12,PPG,Consumer Defensive,21.77,30.2%,-0.0016,52.1,🟡 持有
2026-08-12,TT,Communication Services,8.07,20.1%,0.0042,51.1,🟡 持有
2026-08-12,TTHG,Financial,10.65,21.9%,0.3077,100.0,🔴 止盈
2026-08-12,AAA,Basic Materials,10.51,19.1%,-0.001,44.9,🟡 持有
2026-08-12,BBDC,Technology,22.43,18.6%,0.0783,76.0,🔴 止盈
2026-08-12,CCOR,Healthcare,23.36,104.3%,0.0205,63.2,🟡 持有
2026-08-12,DDX,Real Estate,4.95,18.2%,0.0108,76.1,🔴 止盈
